Quotazioni Fantacalcio Stagione 2015 16,,,,,,,,,,,,
Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
282,P,Por,Buffon,Juventus,20,18,2,20,18,2,0,0
387,P,Por,Reina,Napoli,15,14,1,15,14,1,0,0
484,P,Por,Viviano,Sampdoria,15,12,3,15,12,3,0,0
250,P,Por,Handanovic,Inter,14,15,-1,14,15,-1,0,0
41,P,Por,Mirante,Bologna,13,8,5,13,8,5,0,0
318,P,Por,Marchetti,Lazio,13,13,0,13,13,0,0,0
509,P,Por,Consigli,Sassuolo,13,9,4,13,9,4,0,0
4,P,Por,Sportiello,Atalanta,12,10,2,12,10,2,0,0
95,P,Por,Bizzarri,Chievo,12,10,2,12,10,2,0,0
218,P,Por,Perin,Genoa,12,12,0,12,12,0,0,0
453,P,Por,Szczesny,Roma,12,6,6,12,6,6,0,0
160,P,Por,Tatarusanu,Fiorentina,11,8,3,11,8,3,0,0
350,P,Por,Donnarumma G.,Milan,11,1,10,11,1,10,0,0
413,P,Por,Sorrentino,Palermo,10,10,0,10,10,0,0,0
720,P,Por,Belec,Carpi,10,1,9,10,1,9,0,0
133,P,Por,Skorupski,Empoli,9,9,0,9,9,0,0,0
543,P,Por,Padelli,Torino,9,11,-2,9,11,-2,0,0
570,P,Por,Karnezis,Udinese,9,10,-1,9,10,-1,0,0
610,P,Por,Gollini,Verona,7,1,6,7,1,6,0,0
188,P,Por,Leali,Frosinone,6,7,-1,6,7,-1,0,0
131,P,Por,Pelagotti,Empoli,5,1,4,5,1,4,0,0
217,P,Por,Lamanna,Genoa,5,1,4,5,1,4,0,0
799,P,Por,Bardi,Frosinone,4,3,1,4,3,1,0,0
97,P,Por,Seculin,Chievo,3,1,2,3,1,2,0,0
283,P,Por,Neto,Juventus,3,1,2,3,1,2,0,0
316,P,Por,Berisha,Lazio,3,1,2,3,1,2,0,0
3,P,Por,Radunovic,Atalanta,2,1,1,2,1,1,0,0
132,P,Por,Pugliesi,Empoli,2,1,1,2,1,1,0,0
158,P,Por,Lezzerini,Fiorentina,2,1,1,2,1,1,0,0
352,P,Por,Diego Lopez,Milan,2,13,-11,2,13,-11,0,0
412,P,Por,Colombi,Carpi,2,1,1,2,1,1,0,0
