Statistiche Fantacalcio Stagione 2019 20,,,,,,,,,,,,,,,,,
Id,R,Rm,Nome,Squadra,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
350,P,Por,Donnarumma G.,Milan,36,6.26,5.39,0,42,4,0,0,0,0,3,0,0
250,P,Por,Handanovic,Inter,35,6.16,5.3,0,32,1,0,0,0,0,2,0,0
1934,P,Por,Strakosha,Lazio,38,6.21,5.16,0,42,1,0,0,0,0,2,0,0
2792,P,Por,Musso,Udinese,38,6.28,5.08,0,51,2,0,0,0,0,1,0,0
453,P,Por,Szczesny,Juventus,29,6.19,5.14,0,33,1,0,0,0,0,1,0,0
159,P,Por,Sepe,Parma,34,6.26,4.96,0,53,3,0,0,0,0,1,0,0
610,P,Por,Gollini,Atalanta,33,6.15,4.83,0,42,0,0,0,0,0,3,0,0
2178,P,Por,Cragno,Cagliari,16,6.47,5.31,0,21,1,0,0,0,0,1,0,0
2211,P,Por,Silvestri,Verona,35,6.2,4.94,0,43,0,0,0,0,0,2,0,0
1917,P,Por,Dragowski,Fiorentina,31,6.21,5,0,43,2,0,0,0,0,1,0,0
4419,P,Por,Pau Lopez,Roma,32,6.08,4.72,0,45,1,0,0,0,0,3,0,0
2179,P,Por,Sirigu,Torino,36,6.43,4.68,0,64,1,0,0,0,0,4,0,0
2468,P,Por,Ospina,Napoli,17,6.09,5.09,0,17,0,0,0,0,0,0,0,0
2836,P,Por,Olsen,Cagliari,17,6.41,4.94,0,24,0,0,0,0,0,0,1,0
509,P,Por,Consigli,Sassuolo,31,6.11,4.42,0,55,1,0,0,0,0,1,0,0
133,P,Por,Skorupski,Bologna,37,5.99,4.31,0,64,1,0,0,0,0,2,0,0
572,P,Por,Meret,Napoli,22,6.16,4.8,0,33,1,0,0,0,0,0,0,0
761,P,Por,Audero,Sampdoria,36,6.03,4.29,0,60,0,0,0,0,0,1,0,1
2815,P,Por,Terracciano,Fiorentina,7,6.36,5.64,0,5,0,0,0,0,0,0,0,0
218,P,Por,Perin,Genoa,21,6.12,4.29,0,38,0,0,0,0,0,1,0,0
316,P,Por,Berisha,SPAL,26,6.31,4.6,0,44,0,0,0,0,0,1,0,0
385,P,Por,Gabriel,Lecce,34,6.24,4.06,0,76,2,0,0,0,0,4,0,1
4425,P,Por,Joronen,Brescia,29,6.29,4.34,0,59,1,0,0,0,0,1,0,0
4,P,Por,Sportiello,Atalanta,6,6.17,5.33,0,5,0,0,0,0,0,0,0,0
41,P,Por,Mirante,Roma,5,6.5,5.5,0,5,0,0,0,0,0,0,0,0
282,P,Por,Buffon,Juventus,9,6.11,5,0,10,0,0,0,0,0,0,0,0
510,P,Por,Pegolo,Sassuolo,5,6.7,5.9,0,4,0,0,0,0,0,0,0,0
1930,P,Por,Pinsoglio,Juventus,1,6,6,0,0,0,0,0,0,0,0,0,0
4441,P,Por,Andrenacci,Brescia,6,6,3.33,0,16,0,0,0,0,0,0,0,0
3,P,Por,Radunovic,Verona,3,5.83,3,0,8,0,0,0,0,0,1,0,0
40,P,Por,Da Costa,Bologna,1,6,5,0,1,0,0,0,0,0,0,0,0
42,P,Por,Sarr M.,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0
97,P,Por,Seculin,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0
216,P,Por,Donnarumma An.,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
220,P,Por,Ujkani,Torino,1,6.5,3.5,0,3,0,0,0,0,0,0,0,0
248,P,Por,Berni,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
317,P,Por,Guerrieri,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
318,P,Por,Marchetti,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0
386,P,Por,Rafael Cabral,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0
387,P,Por,Reina,Milan,1,6.5,8.5,0,1,1,0,0,0,0,0,0,0
412,P,Por,Colombi,Parma,4,6.25,5.25,0,4,0,0,0,0,0,0,0,0
540,P,Por,Gomis A.,SPAL,0,0,0,0,0,0,0,0,0,0,0,0,0
542,P,Por,Ichazo,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0
543,P,Por,Padelli,Inter,3,5.33,4,0,4,0,0,0,0,0,0,0,0
570,P,Por,Karnezis,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
574,P,Por,Scuffet,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
611,P,Por,Rafael,Cagliari,6,6.08,4.25,0,11,0,0,0,0,0,0,0,0
654,P,Por,Alastra,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0
673,P,Por,Perisan,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
