Voti Fantacalcio 19ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4431,P,Carnesecchi,7,0,1,0,0,0,0,0,0,0
554,D,Zappacosta,5,0,0,0,0,0,0,0,0,0
787,D,Djimsiti,6,0,0,0,0,0,0,0,0,0
2640,D,Kolasinac,6,0,0,0,0,0,0,1,0,0
4887,D,Bellanova,6.5,0,0,0,0,0,0,0,0,1
5354,D,Ruggeri,6,0,0,0,0,0,0,0,0,0
5526,D,Scalvini,6,0,0,0,0,0,0,0,0,0
6046,D,Hien,6*,0,0,0,0,0,0,0,0,0
22,C,De Roon,5.5,0,0,0,0,0,0,0,0,0
2077,C,Pasalic,5.5,0,0,0,0,0,0,0,0,0
2766,C,Zaniolo,6*,0,0,0,0,0,0,0,0,0
5119,C,Samardzic,6.5,0,0,0,0,0,0,0,0,0
5792,C,Ederson D.s.,6.5,0,0,0,0,0,0,0,0,0
4730,A,Lookman,6,0,0,0,0,0,0,0,0,0
5995,A,De Ketelaere,6,0,0,0,0,0,0,0,0,0
6228,A,Retegui,7,1,0,0,0,0,0,0,0,0
684,ALL,Gasperini,6.5,0,0,0,0,0,0,0,0,0
Bologna,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
133,P,Skorupski,6,0,2,0,0,0,0,0,0,0
487,D,De Silvestri,6,0,0,0,0,0,0,0,0,0
2653,D,Lykogiannis,5,0,0,0,0,0,0,0,0,0
4982,D,Erlic,6*,0,0,0,0,0,0,0,0,0
5498,D,Casale,5.5,0,0,0,0,0,0,0,0,0
5678,D,Holm,6.5,1,0,0,0,0,0,0,0,0
6202,D,Beukema,5.5,0,0,0,0,0,0,0,0,0
788,C,Freuler,6,0,0,0,0,0,0,0,0,0
